 repeat,,,maxVertex, timeTaken,,,,,
11,,,3700,1688,1672.25,155.7480675,,,
12,,,3700,1564,1664.5,158.7505491,,,
13,,,3700,1574,1669.8,156.9782419,,,
14,,,3700,1517,1680.35,157.2909724,,,
15,,,3700,1613,1684.2,153.9899518,,,
16,,,3700,1536,1686.6,153.1938572,,,
17,,,3700,1709,1694.85,149.0433618,,,
18,,,3700,1660,1700.05,151.3592711,,,
19,,,3700,1614,1706.5,152.3083783,,,
20,,,3700,1987,1712.25,150.7957402,,,
1,,,3800,1811,1700.9,136.9332915,,,
2,,,3800,1693,1694.65,134.4741317,,,
3,,,3800,1608,1699.1,135.8818759,,,
4,,,3800,2132,1704.95,134.2623022,,,
